year,winner,gender,country,time,marathon,continent
2018,Dickson Chumba,Male,Kenya,5/4/2018 2:05,Tokyo,Africa
2018,Birhane Dibaba,Female,Ethiopia,5/4/2018 2:19,Tokyo,Africa
2017,Wilson Kipsang,Male,Kenya,5/4/2018 2:03,Tokyo,Africa
2017,Sarah Chepchirchir,Female,Kenya,5/4/2018 2:19,Tokyo,Africa
2016,Feyisa Lilesa,Male,Ethiopia,5/4/2018 2:06,Tokyo,Africa
2016,Helah Kiprop,Female,Kenya,5/4/2018 2:21,Tokyo,Africa
2015,Endeshaw Negesse,Male,Ethiopia,5/4/2018 2:06,Tokyo,Africa
2015,Birhane Dibaba,Female,Ethiopia,5/4/2018 2:23,Tokyo,Africa
2014,Dickson Chumba,Male,Kenya,5/4/2018 2:05,Tokyo,Africa
2014,Tirfi Tsegaye,Female,Ethiopia,5/4/2018 2:22,Tokyo,Africa
2013,Dennis Kimetto,Male,Kenya,5/4/2018 2:06,Tokyo,Africa
2013,Aberu Kebede,Female,Ethiopia,5/4/2018 2:25,Tokyo,Africa
2012,Michael Kipyego,Male,Kenya,5/4/2018 2:07,Tokyo,Africa
2012,Atsede Habtamu,Female,Ethiopia,5/4/2018 2:25,Tokyo,Africa
2011,Hailu Mekonnen,Male,Ethiopia,5/4/2018 2:07,Tokyo,Africa
2011,Noriko Higuchi,Female,Japan,5/4/2018 2:28,Tokyo,APAC
2010,Masakazu Fujiwara,Male,Japan,5/4/2018 2:12,Tokyo,APAC
2010,Alevtina Biktimirova,Female,Russia,5/4/2018 2:34,Tokyo,APAC
2009,Salim Kipsang,Male,Kenya,5/4/2018 2:10,Tokyo,Africa
2009,Mizuho Nasukawa,Female,Japan,5/4/2018 2:25,Tokyo,APAC
2008,Viktor Röthlin,Male,Switzerland,5/4/2018 2:07,Tokyo,Europe
2008,Claudia Dreher,Female,Germany,5/4/2018 2:35,Tokyo,Europe
2007,Daniel Njenga,Male,Kenya,5/4/2018 2:09,Tokyo,Africa
2007,Hitomi Niiya,Female,Japan,5/4/2018 2:31,Tokyo,APAC
2017,Eliud Kipchoge,Male,Kenya,5/4/2018 2:03,Berlin,Africa
2017,Gladys Cherono,Female,Kenya,5/4/2018 2:20,Berlin,Africa
2016,Kenenisa Bekele,Male,Ethiopia,5/4/2018 2:03,Berlin,Africa
2016,Aberu Kebede,Female,Ethiopia,5/4/2018 2:20,Berlin,Africa
2015,Eliud Kipchoge,Male,Kenya,5/4/2018 2:04,Berlin,Africa
2015,Gladys Cherono,Female,Kenya,5/4/2018 2:19,Berlin,Africa
2014,Dennis Kimetto,Male,Kenya,5/4/2018 2:02,Berlin,Africa
2014,Tirfi Tsegaye,Female,Ethiopia,5/4/2018 2:20,Berlin,Africa
2013,Wilson Kipsang,Male,Kenya,5/4/2018 2:03,Berlin,Africa
2013,Florence Kiplagat,Female,Kenya,5/4/2018 2:21,Berlin,Africa
2012,Geoffrey Mutai,Male,Kenya,5/4/2018 2:04,Berlin,Africa
2012,Aberu Kebede,Female,Ethiopia,5/4/2018 2:20,Berlin,Africa
2011,Patrick Musyoki,Male,Kenya,5/4/2018 2:03,Berlin,Africa
2011,Florence Kiplagat,Female,Kenya,5/4/2018 2:19,Berlin,Africa
2010,Patrick Musyoki,Male,Kenya,5/4/2018 2:05,Berlin,Africa
2010,Aberu Kebede,Female,Ethiopia,5/4/2018 2:23,Berlin,Africa
2009,Haile Gebrselassie,Male,Ethiopia,5/4/2018 2:06,Berlin,Africa
2009,Atsede Habtamu,Female,Ethiopia,5/4/2018 2:24,Berlin,Africa
2008,Haile Gebrselassie,Male,Ethiopia,5/4/2018 2:03,Berlin,Africa
2008,Irina Mikitenko,Female,Germany,5/4/2018 2:19,Berlin,Europe
2007,Haile Gebrselassie,Male,Ethiopia,5/4/2018 2:04,Berlin,Africa
2007,Gete Wami,Female,Ethiopia,5/4/2018 2:23,Berlin,Africa
2006,Haile Gebrselassie,Male,Ethiopia,5/4/2018 2:05,Berlin,Africa
2006,Gete Wami,Female,Ethiopia,5/4/2018 2:21,Berlin,Africa
2005,Philip Manyim,Male,Kenya,5/4/2018 2:07,Berlin,Africa
2005,Noguchi,Female,Japan,5/4/2018 2:19,Berlin,APAC
2004,Felix Limo,Male,Kenya,5/4/2018 2:06,Berlin,Africa
2004,Yoko Shibui,Female,Japan,5/4/2018 2:19,Berlin,APAC
2003,Paul Tergat,Male,Kenya,5/4/2018 2:04,Berlin,Africa
2003,Yasuko Hashimoto,Female,Japan,5/4/2018 2:26,Berlin,APAC
2002,Raymond Kipkoech,Male,Kenya,5/4/2018 2:06,Berlin,Africa
2002,Naoko Takahashi,Female,Japan,5/4/2018 2:21,Berlin,APAC
2001,Joseph Ngolepus,Male,Kenya,5/4/2018 2:08,Berlin,Africa
2001,Naoko Takahashi,Female,Japan,5/4/2018 2:19,Berlin,APAC
2000,Simon Biwott,Male,Kenya,5/4/2018 2:07,Berlin,Africa
2000,Kazumi Matsuo,Female,Japan,5/4/2018 2:26,Berlin,APAC
1999,Josephat Kiprono,Male,Kenya,5/4/2018 2:06,Berlin,Africa
1999,Tegla Loroupe,Female,Kenya,5/4/2018 2:20,Berlin,Africa
1998,Ronaldo da Costa,Male,Brazil,5/4/2018 2:06,Berlin,Americas
1998,Marleen Renders,Female,Belgium,5/4/2018 2:25,Berlin,Europe
1997,Elijah Lagat,Male,Kenya,5/4/2018 2:07,Berlin,Africa
1997,Catherina McKiernan,Female,Ireland,5/4/2018 2:23,Berlin,Europe
1996,Abel Antón,Male,Spain,5/4/2018 2:09,Berlin,Europe
1996,Colleen De Reuck,Female,South Africa,5/4/2018 2:26,Berlin,Africa
1995,Sammy Lelei,Male,Kenya,5/4/2018 2:07,Berlin,Africa
1995,Uta Pippig,Female,Germany,5/4/2018 2:25,Berlin,Europe
1994,António Pinto,Male,Portugal,5/4/2018 2:08,Berlin,Europe
1994,Katrin Dörre-Heinig,Female,Germany,5/4/2018 2:25,Berlin,Europe
1993,Xolile Yawa,Male,South Africa,5/4/2018 2:10,Berlin,Africa
1993,Renata Kokowska,Female,Poland,5/4/2018 2:26,Berlin,Europe
1992,David Tsebe,Male,South Africa,5/4/2018 2:08,Berlin,Africa
1992,Uta Pippig,Female,Germany,5/4/2018 2:30,Berlin,Europe
1991,Steve Brace,Male,United Kingdom,5/4/2018 2:10,Berlin,Europe
1991,Renata Kokowska,Female,Poland,5/4/2018 2:27,Berlin,Europe
1990,Steve Moneghetti,Male,Australia,5/4/2018 2:08,Berlin,APAC
1990,Uta Pippig,Female,Germany,5/4/2018 2:28,Berlin,Europe
1989,Alfredo Shahanga,Male,Tanzania,5/4/2018 2:10,Berlin,Africa
1989,Päivi Tikkanen,Female,Finland,5/4/2018 2:28,Berlin,Europe
1988,Suleiman Nyambui,Male,Tanzania,5/4/2018 2:11,Berlin,Africa
1988,Renata Kokowska,Female,Poland,5/4/2018 2:29,Berlin,Europe
1987,Suleiman Nyambui,Male,Tanzania,5/4/2018 2:11,Berlin,Africa
1987,Kerstin Preßler,Female,Germany,5/4/2018 2:31,Berlin,Europe
1986,Boguslaw Psujek,Male,Poland,5/4/2018 2:11,Berlin,Europe
1986,Charlotte Teske,Female,Germany,5/4/2018 2:32,Berlin,Europe
1985,Jimmy Ashworth,Male,United Kingdom,5/4/2018 2:11,Berlin,Europe
1985,Magda Ilands,Female,Belgium,5/4/2018 2:34,Berlin,Europe
1984,John Skovbjerg,Male,Denmark,5/4/2018 2:13,Berlin,Europe
1984,Ágnes Sipka,Female,Hungary,5/4/2018 2:39,Berlin,Europe
1983,Karel Lismont,Male,Belgium,5/4/2018 2:13,Berlin,Europe
1983,Karen Holdsworth,Female,United Kingdom,5/4/2018 2:40,Berlin,Europe
1982,Domingo Tibaduiza,Male,Colombia,5/4/2018 2:14,Berlin,Americas
1982,Jean Lochhead,Female,United Kingdom,5/4/2018 2:47,Berlin,Europe
1981,Ian Ray,Male,United Kingdom,5/4/2018 2:15,Berlin,Europe
1981,Angelika Stephan,Female,Germany,5/4/2018 2:47,Berlin,Europe
1980,Ingo Sensburg,Male,Germany,5/4/2018 2:16,Berlin,Europe
1980,Gerlinde Püttmann,Female,Germany,5/4/2018 2:47,Berlin,Europe
1979,Ingo Sensburg,Male,Germany,5/4/2018 2:21,Berlin,Europe
1979,Jutta von Haase,Female,Germany,5/4/2018 3:07,Berlin,Europe
1978,Michael Spöttel,Male,Germany,5/4/2018 2:20,Berlin,Europe
1978,Ursula Blaschke,Female,Germany,5/4/2018 2:57,Berlin,Europe
1977,Günter Mielke,Male,Germany,5/4/2018 2:15,Berlin,Europe
1977,Christa Vahlensieck,Female,Germany,5/4/2018 2:34,Berlin,Europe
1976,Ingo Sensburg,Male,Germany,5/4/2018 2:23,Berlin,Europe
1976,Jutta von Haase,Female,Germany,5/4/2018 3:05,Berlin,Europe
1975,Ralf Bochröder,Male,Germany,5/4/2018 2:47,Berlin,Europe
1975,Christin Bochröder,Female,Germany,5/4/2018 2:59,Berlin,Europe
1974,Günter Hallas,Male,Germany,5/4/2018 2:44,Berlin,Europe
1974,Jutta von Haase,Female,Germany,5/4/2018 3:22,Berlin,Europe
2018,Yuki Kawauchi,Male,Japan,5/4/2018 2:15,Boston,APAC
